Diet Plan Name,Meal Type,Calories,Protein (g),Carbs (g),Fat (g),Suitable For
Grilled Chicken Salad,Dinner,521,30.2,17.7,16.9,High Protein
Grilled Chicken Salad,Dinner,295,26.6,66.7,11.4,Weight Loss
Oatmeal with Berries,Breakfast,633,23.0,29.1,13.5,High Protein
Tofu Stir Fry,Lunch,547,17.8,15.8,9.9,Balanced Diet
Salmon and Veggies,Snack,418,10.6,14.6,18.6,Weight Loss
Greek Yogurt Parfait,Snack,560,31.3,68.5,6.6,Balanced Diet
Vegan Lentil Soup,Lunch,460,16.3,40.4,10.6,Vegan
Beef Stir Fry,Lunch,784,31.2,15.6,27.5,Muscle Gain
Chickpea Curry,Dinner,605,37.7,65.3,25.8,Low Carb
Stuffed Bell Peppers,Breakfast,587,31.2,40.6,24.1,Low Carb
Quinoa Salad,Lunch,700,18.2,26.7,9.4,Muscle Gain
Shrimp Tacos,Lunch,419,10.2,17.4,20.8,Vegan
Greek Yogurt Parfait,Dinner,743,33.5,33.6,6.3,Muscle Gain
Beef Stir Fry,Dinner,294,30.9,10.5,8.4,Weight Loss
Fruit and Nut Mix,Snack,349,12.5,60.5,6.7,Weight Loss
Chickpea Curry,Snack,525,12.4,47.6,6.9,Balanced Diet
Vegan Buddha Bowl,Breakfast,420,11.1,36.9,8.5,Low Carb
Fruit and Nut Mix,Lunch,690,30.0,48.2,10.4,Low Carb
Vegan Buddha Bowl,Dinner,368,24.1,29.5,17.1,Vegan
Greek Yogurt Parfait,Snack,574,30.1,15.5,12.8,High Protein
Quinoa Salad,Snack,597,20.3,29.9,12.6,Muscle Gain
Chickpea Curry,Snack,788,24.0,55.5,29.8,Muscle Gain
Turkey Sandwich,Breakfast,476,18.9,19.3,10.6,Vegan
Protein Smoothie,Snack,362,24.5,40.7,11.5,Vegan
Quinoa Salad,Breakfast,550,21.0,45.1,5.1,Vegan
Vegan Buddha Bowl,Dinner,362,39.4,13.5,5.8,Vegan
Sweet Potato Bowl,Lunch,702,18.2,64.9,9.8,Muscle Gain
Chickpea Curry,Dinner,645,15.3,40.2,17.2,Low Carb
Egg White Omelette,Snack,437,22.5,33.8,17.3,High Protein
Fruit and Nut Mix,Snack,666,31.0,49.1,26.2,Muscle Gain
Shrimp Tacos,Snack,409,16.8,61.3,20.8,Weight Loss
Egg White Omelette,Lunch,490,37.9,67.5,24.4,Balanced Diet
Greek Yogurt Parfait,Dinner,518,21.8,37.2,28.3,High Protein
Vegan Lentil Soup,Lunch,443,36.3,61.4,24.8,High Protein
Stuffed Bell Peppers,Snack,549,35.9,60.1,9.3,Muscle Gain
Vegan Buddha Bowl,Dinner,564,15.7,14.8,13.2,Muscle Gain
Fruit and Nut Mix,Dinner,318,25.6,10.3,17.9,Keto
Oatmeal with Berries,Dinner,595,37.8,27.5,13.3,Low Carb
Chickpea Curry,Dinner,435,21.7,47.8,23.7,Weight Loss
Quinoa Salad,Dinner,265,16.8,56.0,8.2,Weight Loss
Keto Bacon Omelette,Snack,505,19.5,50.9,5.1,Low Carb
Oatmeal with Berries,Lunch,342,19.4,37.3,10.4,Weight Loss
Avocado Toast,Dinner,695,39.0,37.6,28.4,High Protein
Quinoa Salad,Breakfast,300,39.2,49.6,6.4,Vegan
Greek Yogurt Parfait,Lunch,663,34.6,23.9,29.9,Muscle Gain
Protein Smoothie,Snack,671,28.3,52.4,14.8,High Protein
Quinoa Salad,Lunch,458,19.1,41.5,24.0,Vegan
Shrimp Tacos,Dinner,439,30.7,21.6,12.0,Vegan
Grilled Chicken Salad,Breakfast,524,31.6,41.9,23.4,Keto
Grilled Chicken Salad,Snack,537,15.3,44.4,7.8,High Protein
Vegan Buddha Bowl,Lunch,544,15.6,19.6,22.1,Vegan
Salmon and Veggies,Dinner,345,18.0,20.0,8.0,Keto
Greek Yogurt Parfait,Dinner,423,28.8,65.4,8.6,Low Carb
Turkey Sandwich,Dinner,429,14.2,57.5,10.0,High Protein
Tofu Stir Fry,Snack,435,22.4,20.0,15.7,Low Carb
Pasta Primavera,Breakfast,461,21.2,66.3,7.9,Low Carb
Avocado Toast,Lunch,683,31.4,38.0,27.3,Low Carb
Turkey Sandwich,Lunch,548,26.2,45.6,20.8,Muscle Gain
Keto Bacon Omelette,Snack,433,38.2,36.0,24.7,Low Carb
Vegan Lentil Soup,Breakfast,346,10.0,69.4,20.9,Vegan
Quinoa Salad,Breakfast,445,34.7,64.0,14.2,Keto
Tofu Stir Fry,Lunch,675,37.6,40.2,20.2,Low Carb
Salmon and Veggies,Breakfast,506,17.3,55.7,27.3,Vegan
Protein Smoothie,Lunch,476,19.1,51.9,10.4,Low Carb
Chickpea Curry,Snack,653,31.9,51.4,23.7,Balanced Diet
Vegan Lentil Soup,Snack,688,23.6,54.4,27.2,Balanced Diet
Quinoa Salad,Dinner,357,32.1,57.9,21.4,Vegan
Beef Stir Fry,Lunch,613,27.7,62.6,9.9,Muscle Gain
Quinoa Salad,Dinner,494,32.9,23.4,13.5,Low Carb
Shrimp Tacos,Lunch,653,36.1,21.6,29.0,Balanced Diet
Beef Stir Fry,Snack,697,16.0,54.2,21.0,High Protein
Stuffed Bell Peppers,Breakfast,529,16.8,40.6,6.2,High Protein
Vegan Buddha Bowl,Lunch,378,16.7,17.3,23.0,Weight Loss
Fruit and Nut Mix,Lunch,431,35.6,53.5,20.1,Weight Loss
Tofu Stir Fry,Dinner,652,10.8,69.5,19.7,Balanced Diet
Pasta Primavera,Lunch,412,23.4,25.8,29.5,Vegan
Protein Smoothie,Dinner,428,24.6,29.3,29.1,Balanced Diet
Shrimp Tacos,Breakfast,311,16.7,13.8,28.8,Vegan
Salmon and Veggies,Dinner,591,24.6,25.8,27.3,Muscle Gain
Turkey Sandwich,Dinner,695,23.1,19.0,24.8,Muscle Gain
Oatmeal with Berries,Lunch,392,22.5,66.9,25.0,Weight Loss
Protein Smoothie,Lunch,338,10.3,15.3,10.5,Keto
Vegan Buddha Bowl,Dinner,547,11.8,32.4,15.4,Vegan
Avocado Toast,Dinner,555,35.3,22.7,14.5,Keto
Oatmeal with Berries,Breakfast,540,21.9,42.6,8.6,Balanced Diet
Avocado Toast,Lunch,400,37.3,34.9,22.5,Weight Loss
Vegan Buddha Bowl,Breakfast,296,38.4,36.5,19.4,Weight Loss
Sweet Potato Bowl,Snack,550,30.4,49.4,16.8,Muscle Gain
Grilled Chicken Salad,Dinner,404,13.9,27.5,22.4,High Protein
Egg White Omelette,Breakfast,326,35.7,28.5,28.7,Keto
Shrimp Tacos,Dinner,510,33.7,38.6,5.9,Vegan
Greek Yogurt Parfait,Dinner,398,18.1,30.3,18.4,Vegan
Fruit and Nut Mix,Dinner,400,39.4,62.8,29.6,High Protein
Stuffed Bell Peppers,Snack,373,40.0,61.3,17.5,Keto
Stuffed Bell Peppers,Lunch,636,21.3,56.1,17.1,Low Carb
Salmon and Veggies,Lunch,464,27.1,15.1,15.6,Balanced Diet
Fruit and Nut Mix,Dinner,725,10.6,49.3,27.7,Muscle Gain
Fruit and Nut Mix,Lunch,485,11.6,17.2,5.4,Vegan
Pasta Primavera,Breakfast,599,39.8,66.3,15.6,Balanced Diet
Turkey Sandwich,Breakfast,642,35.5,13.3,13.2,Muscle Gain
Chickpea Curry,Lunch,631,27.7,60.7,10.8,Low Carb
Avocado Toast,Snack,534,11.4,65.4,9.3,Low Carb
Oatmeal with Berries,Snack,422,31.8,22.4,12.1,High Protein
Vegan Lentil Soup,Snack,467,11.5,18.2,12.1,Low Carb
Egg White Omelette,Snack,443,28.2,62.0,15.5,Low Carb
Keto Bacon Omelette,Lunch,641,27.0,14.1,6.3,Muscle Gain
Quinoa Salad,Lunch,309,28.5,34.4,28.0,Vegan
Chickpea Curry,Snack,783,30.0,30.6,9.7,Muscle Gain
Shrimp Tacos,Dinner,602,20.3,59.6,14.0,Muscle Gain
Quinoa Salad,Lunch,455,24.4,54.6,9.9,Low Carb
Shrimp Tacos,Lunch,729,23.5,60.0,19.7,Muscle Gain
Quinoa Salad,Snack,301,24.5,68.9,6.7,Weight Loss
Shrimp Tacos,Breakfast,316,10.3,24.1,14.0,Keto
Grilled Chicken Salad,Snack,423,28.9,58.2,11.9,Keto
Quinoa Salad,Dinner,800,23.8,44.8,27.7,Muscle Gain
Chickpea Curry,Dinner,459,30.4,41.0,27.0,Vegan
Greek Yogurt Parfait,Breakfast,453,10.2,30.9,10.7,Balanced Diet
Chickpea Curry,Snack,441,23.1,10.4,24.3,Weight Loss
Sweet Potato Bowl,Lunch,517,15.4,41.5,20.8,Balanced Diet
Tofu Stir Fry,Dinner,500,13.9,42.6,14.6,Muscle Gain
Pasta Primavera,Dinner,452,30.7,42.2,11.6,Low Carb
Stuffed Bell Peppers,Dinner,404,39.2,58.9,23.1,Balanced Diet
Oatmeal with Berries,Dinner,492,18.9,33.1,26.0,High Protein
Beef Stir Fry,Dinner,394,31.3,10.4,21.9,Keto
Grilled Chicken Salad,Snack,680,23.7,16.7,20.5,Muscle Gain
Salmon and Veggies,Dinner,379,26.7,18.1,28.8,Vegan
Stuffed Bell Peppers,Breakfast,262,19.5,58.3,20.1,Weight Loss
Oatmeal with Berries,Dinner,667,14.4,62.4,11.6,Muscle Gain
Stuffed Bell Peppers,Lunch,334,31.3,49.0,23.8,Keto
Vegan Buddha Bowl,Lunch,563,20.4,25.6,29.7,High Protein
Greek Yogurt Parfait,Dinner,400,11.6,21.8,13.8,Weight Loss
Vegan Buddha Bowl,Snack,565,32.8,43.1,17.5,Balanced Diet
Oatmeal with Berries,Lunch,529,28.2,14.6,18.6,High Protein
Avocado Toast,Snack,411,19.3,20.8,27.5,Vegan
Egg White Omelette,Snack,546,21.1,10.2,6.3,High Protein
Quinoa Salad,Dinner,613,16.1,34.5,5.3,Low Carb
Sweet Potato Bowl,Dinner,445,14.7,44.0,21.4,Low Carb
Vegan Lentil Soup,Snack,628,15.3,18.7,11.0,Balanced Diet
Stuffed Bell Peppers,Dinner,678,38.1,52.6,12.6,Muscle Gain
Egg White Omelette,Lunch,405,29.4,32.5,12.4,High Protein
Chickpea Curry,Breakfast,736,17.9,23.5,18.1,Muscle Gain
Sweet Potato Bowl,Snack,727,27.1,62.7,27.5,Muscle Gain
Beef Stir Fry,Lunch,402,32.6,11.2,20.2,Weight Loss
Avocado Toast,Breakfast,421,18.3,45.3,23.1,Low Carb
Tofu Stir Fry,Dinner,699,24.9,64.1,18.5,Balanced Diet
Avocado Toast,Breakfast,498,24.7,45.5,11.5,Vegan
Turkey Sandwich,Dinner,251,25.1,57.2,22.4,Weight Loss
Turkey Sandwich,Breakfast,347,11.5,50.3,17.8,Keto
Shrimp Tacos,Dinner,539,23.3,58.1,12.8,Keto
Egg White Omelette,Dinner,497,22.4,20.2,20.4,Balanced Diet
Avocado Toast,Breakfast,337,14.2,29.9,27.4,Keto
Shrimp Tacos,Snack,405,17.7,23.0,17.6,Balanced Diet
Stuffed Bell Peppers,Dinner,645,13.1,68.8,23.6,Low Carb
Avocado Toast,Breakfast,420,30.0,22.5,16.7,High Protein
Stuffed Bell Peppers,Snack,420,35.1,50.2,19.8,Low Carb
Fruit and Nut Mix,Breakfast,405,20.3,67.4,15.2,Keto
Turkey Sandwich,Breakfast,466,37.6,21.4,25.0,Balanced Diet
Tofu Stir Fry,Lunch,566,12.2,37.5,5.7,Balanced Diet
Tofu Stir Fry,Dinner,509,25.0,39.3,5.7,Balanced Diet
Salmon and Veggies,Breakfast,310,14.0,26.9,23.3,Keto
Keto Bacon Omelette,Breakfast,594,11.5,40.6,23.8,Low Carb
Greek Yogurt Parfait,Dinner,443,37.9,15.5,7.8,Weight Loss
Pasta Primavera,Breakfast,374,30.2,63.5,9.1,Weight Loss
Quinoa Salad,Dinner,493,22.4,22.4,20.4,Keto
Shrimp Tacos,Dinner,303,10.5,18.4,24.5,Weight Loss
Fruit and Nut Mix,Lunch,598,26.8,40.9,15.4,Keto
Vegan Lentil Soup,Lunch,516,20.1,14.7,20.3,Vegan
Vegan Buddha Bowl,Lunch,474,33.5,14.9,16.8,High Protein
Greek Yogurt Parfait,Snack,638,30.8,26.2,6.5,Low Carb
Stuffed Bell Peppers,Breakfast,335,19.7,19.5,20.6,Vegan
Shrimp Tacos,Lunch,416,25.6,44.2,24.4,Weight Loss
Protein Smoothie,Lunch,684,15.5,40.8,6.7,Muscle Gain
Salmon and Veggies,Snack,356,26.5,50.9,17.9,Keto
Pasta Primavera,Breakfast,478,15.3,11.4,13.0,Keto
Pasta Primavera,Snack,507,11.1,39.9,19.7,High Protein
Keto Bacon Omelette,Lunch,664,39.8,27.3,13.1,High Protein
Stuffed Bell Peppers,Lunch,483,17.7,22.2,29.7,Vegan
Pasta Primavera,Dinner,487,15.8,25.9,29.3,Balanced Diet
Greek Yogurt Parfait,Dinner,575,20.5,66.0,15.1,Muscle Gain
Fruit and Nut Mix,Dinner,266,23.7,28.0,21.9,Weight Loss
Grilled Chicken Salad,Dinner,446,25.6,28.0,15.6,High Protein
Chickpea Curry,Dinner,689,14.7,56.8,28.4,Low Carb
Quinoa Salad,Snack,673,39.7,62.2,13.2,Balanced Diet
Turkey Sandwich,Dinner,294,30.6,48.6,28.7,Weight Loss
Chickpea Curry,Dinner,672,17.3,19.1,14.4,High Protein
Pasta Primavera,Breakfast,582,13.6,48.6,6.4,High Protein
Beef Stir Fry,Snack,670,27.5,65.7,9.7,Balanced Diet
Grilled Chicken Salad,Snack,448,16.6,63.9,20.8,Weight Loss
Keto Bacon Omelette,Dinner,279,18.0,15.6,7.5,Weight Loss
Egg White Omelette,Lunch,279,39.9,11.7,28.0,Weight Loss
Fruit and Nut Mix,Dinner,360,22.8,30.7,9.0,Weight Loss
Turkey Sandwich,Snack,520,15.6,24.3,7.7,Vegan
Keto Bacon Omelette,Snack,418,28.7,55.2,21.9,Low Carb
Greek Yogurt Parfait,Dinner,372,30.2,32.7,29.0,Weight Loss
Sweet Potato Bowl,Dinner,393,29.3,40.1,5.7,Keto
Chickpea Curry,Dinner,583,38.0,52.7,20.6,Low Carb
Keto Bacon Omelette,Breakfast,622,38.1,44.5,5.6,Low Carb
Beef Stir Fry,Snack,611,38.1,25.5,15.5,Muscle Gain
Beef Stir Fry,Snack,524,28.7,41.4,15.6,Balanced Diet
Protein Smoothie,Snack,652,39.3,52.6,17.5,Balanced Diet
Salmon and Veggies,Snack,416,39.9,58.0,28.5,High Protein
Fruit and Nut Mix,Lunch,795,27.4,37.6,24.7,Muscle Gain
Beef Stir Fry,Dinner,415,27.4,25.1,24.1,Vegan
Keto Bacon Omelette,Snack,428,39.1,69.7,19.9,Low Carb
Quinoa Salad,Breakfast,568,36.7,21.6,21.6,Balanced Diet
Pasta Primavera,Snack,689,14.5,44.5,11.8,Balanced Diet
Vegan Lentil Soup,Dinner,556,10.2,52.1,26.4,Low Carb
Tofu Stir Fry,Breakfast,429,39.5,59.2,11.8,Weight Loss
Fruit and Nut Mix,Lunch,731,21.9,26.7,20.0,Muscle Gain
Stuffed Bell Peppers,Dinner,444,30.5,58.6,20.8,Weight Loss
Chickpea Curry,Breakfast,564,11.8,29.7,26.2,High Protein
Sweet Potato Bowl,Snack,445,16.7,23.7,24.0,Keto
Fruit and Nut Mix,Lunch,593,39.3,35.2,20.4,Muscle Gain
Avocado Toast,Breakfast,497,35.5,61.2,9.3,High Protein
Protein Smoothie,Snack,355,33.7,44.3,13.2,Weight Loss
Vegan Buddha Bowl,Breakfast,485,15.7,19.9,18.1,Vegan
Keto Bacon Omelette,Breakfast,340,26.7,40.1,11.5,Vegan
Chickpea Curry,Dinner,499,20.2,47.3,25.3,High Protein
Fruit and Nut Mix,Dinner,572,26.0,47.1,9.9,Low Carb
Salmon and Veggies,Breakfast,475,38.9,12.5,21.7,Vegan
Vegan Lentil Soup,Dinner,376,23.9,64.1,19.9,Keto
Fruit and Nut Mix,Snack,476,33.0,49.0,10.7,High Protein
Oatmeal with Berries,Lunch,315,21.4,30.5,12.6,Keto
Pasta Primavera,Snack,643,30.9,19.1,12.4,Low Carb
